46
160126224.00,46
160127136.00,46
160128048.00,47
1601289601
6.00,47
631683072.00,47
631683968.00,47
631684928.00,47
631685824.00,47
631686784.00,47
631687680.00,46
631688576.00,47
631689472.00,47
631690432.00,47
r0,46
8.00,47
596.00,47
1204.00,48
1860.00,47
2524.00,47
3184.00,43
3844.00,47
4508.00,48
5168.00,46
5828.00,45
6492.00,48
7148.00,47
7812.00,46
8476.00,47
9132.00,47
9796.00,47
10452.00,47
11164.00,46
11884.00,46
12596.00,47
13308.00,46
14020.00,47
14740.00,46
15456.00,44
16164.00,46
16876.00,51
17588.00,47
18300.00,47
19012.00,47
19732.00,49
20444.00,47
21164.00,48
21876.00,47
22592.00,46
23300.00,47
24012.00,47
24724.00,47
25436.00,47
26156.00,47
26868.00,47
27580.00,47
28292.00,45
29004.00,47
29728.00,46
30428.00,47
31148.00,46
31864.00,46
32580.00,47
33292.00,47
34004.00,48
34716.00,46
35436.00,47
36156.00,47
36880.00,48
37588.00,47
38308.00,46
39024.00,47
39740.00,49
40460.00,46
41172.00,47
41884.00,47
42596.00,47
43316.00,47
44028.00,48
44748.00,47
45468.00,47
46184.00,47
46900.00,45
47620.00,47
48332.00,56
49044.00,47
49764.00,47
50484.00,45
51196.00,47
51916.00,47
52636.00,47
53352.00,47
54068.00,48
54788.00,47
55500.00,47
56212.00,47
56932.00,47
57652.00,47
58364.00,47
59084.00,47
59804.00,47
60520.00,45
61236.00,47
61956.00,45
62668.00,45
63380.00,46
64100.00,47
64812.00,47
65524.00,49
66244.00,47
66964.00,50
67680.00,47
68396.00,47
69116.00,48
69828.00,47
70540.00,48
71260.00,47
71980.00,47
72692.00,45
73412.00,47
74132.00,47
74848.00,50
75564.00,47
76284.00,44
76996.00,47
77708.00,47
78428.00,47
79148.00,50
79860.00,47
80580.00,46
81300.00,47
82016.00,47
82732.00,45
83452.00,48
84164.00,46
84876.00,47
85596.00,47
86316.00,47
87028.00,47
87748.00,50
88468.00,47
89184.00,47
89900.00,47
90620.00,49
91332.00,47
92044.00,48
92764.00,46
93484.00,45
94196.00,46
94916.00,47
95636.00,46
96352.00,48
97068.00,50
97788.00,52
98500.00,47
99212.00,50
99932.00,47
100652.00,47
101424.00,47
102196.00,46
102972.00,47
103748.00,47
104520.00,47
105292.00,47
106068.00,47
106844.00,47
107616.00,48
108388.00,46
109164.00,47
109940.00,47
110712.00,46
111484.00,48
112260.00,47
113036.00,46
113804.00,47
114572.00,48
115348.00,48
116124.00,47
116892.00,47
117660.00,45
118436.00,46
119212.00,46
119980.00,47
120748.00,47
121524.00,47
122300.00,47
123068.00,47
123836.00,47
124612.00,47
125388.00,47
126156.00,47
126924.00,46
127700.00,47
128476.00,47
129244.00,49
130012.00,52
130788.00,48
131564.00,47
132308.00,48
133052.00,45
133804.00,47
134556.00,45
135300.00,48
136044.00,47
136796.00,47
137548.00,48
138296.00,47
139044.00,47
139796.00,47
140548.00,48
141292.00,47
142044.00,47
142796.00,48
143540.00,46
144284.00,47
145036.00,46
145788.00,48
146536.00,47
147284.00,45
148036.00,47
148788.00,48
149528.00,49
150276.00,47
151028.00,45
151772.00,47
152516.00,46
153268.00,48
154020.00,46
154764.00,48
155508.00,47
156260.00,45
157012.00,46
157760.00,47
158508.00,46
159260.00,45
160012.00,47
160756.00,47
161508.00,47
162260.00,47
163004.00,46
163748.00,46
164500.00,50
165252.00,45
166000.00,45
166748.00,44
167500.00,47
168252.00,47
168992.00,47
169740.00,47
170492.00,46
171236.00,48
171980.00,46
172732.00,47
173484.00,47
174228.00,48
174972.00,43
175724.00,47
176476.00,47
177224.00,46
177972.00,47
178724.00,47
179476.00,46
180220.00,45
180972.00,45
181724.00,47
182468.00,46
