Time (s),Thrust (kN)
4.68,16.203109491444582
4.7,16.1995629401443
4.72,16.199333409841998
4.74,16.19931107239837
4.76,16.199233173083023
4.78,16.202756969453045
4.8,16.20269582587225
4.82,16.20263556994448
4.84,16.202576257889106
4.86,16.20251758280892
4.88,16.202460025723198
4.9,16.202402722386893
4.92,16.202347184743132
4.94,16.20229318735777
4.96,16.20223938670578
4.98,16.202187724455445
5.0,16.202137575279412
5.0200000000000005,16.202088127100986
5.04,16.202040559877993
5.0600000000000005,16.201993166846655
5.08,16.201949438112948
5.1000000000000005,16.201908903224265
5.12,16.201868533027646
5.14,16.20183225878226
5.16,16.201797774391636
5.18,16.20176507194868
5.2,16.201739351360374
5.22,16.20171416607929
5.24,16.2016999782679
5.26,16.201688037198412
5.28,16.201688754880895
5.3,16.20169607038491
5.32,16.201718124771535
5.34,16.20127996308589
5.36,16.20140615827291
5.38,16.199874168635233
5.4,16.20173523932365
5.42,16.201903849424323
5.44,16.201869532573053
5.46,16.201759121250408
5.48,16.201657793913377
5.5,16.201553872814557
5.5200000000000005,16.20145601966869
5.54,16.201339077460265
5.5600000000000005,16.20124150873028
5.58,16.201100441585766
5.6000000000000005,16.20100359633945
5.62,16.200901324350237
5.64,16.20076991503676
5.66,16.200649124760844
5.68,16.20055945161492
5.7,16.200413110814925
5.72,16.20027498612254
5.74,16.200149919846204
5.76,16.200054217649516
5.78,16.199929459714813
5.8,16.199791033735902
5.82,16.19967778132988
5.84,16.19956891407473
5.86,16.19232081991704
5.88,16.19923507369342
5.9,16.19752449367144
5.92,16.19698464722817
5.94,16.197489746871355
5.96,16.19602573591681
5.98,16.19680073430783
6.0,16.196947906791056
6.0200000000000005,16.197039897328857
6.04,16.197105409910236
6.0600000000000005,16.19669705824873
6.08,16.196680088662532
6.1000000000000005,16.196549365870002
6.12,16.196093732550793
6.140000000000001,16.196275533967306
6.16,16.194928231974828
6.18,16.19575896469208
6.2,16.195637187268538
6.22,16.19523041510824
6.24,16.191626960943445
6.26,16.195087134053527
6.28,16.195320299854576
6.3,16.195011056049726
6.32,16.194360558727755
6.34,16.19474546583175
6.36,16.194627212491824
